,Race_Name,Category,Number_stages
0,Milano-Sanremo 2008 ,1.WT.A,1
1,Vuelta Ciclista al Pais Vasco 2008 ,2.WT,6
2,Tour de Romandie 2008 ,2.WT,6
3,Giro d'Italia 2008 ,GT.B,21
4,Critérium Du Dauphiné Libéré 2008 ,2.WT,8
5,Tour de Suisse 2008 ,2.WT,9
6,National Championships Switzerland - ITT 2008  Stage 1 ,Nationals.C3.TT,1
7,Clasica Ciclista San Sebastian 2008 ,1.WT.B,1
8,Tour de Pologne 2008 ,1.WT.B,6
9,World Championships MJ - ITT 2008 ,J-WC.TT,1
10,World Championships WJ - ITT 2008 ,-,1
11,World Championships MJ - Road Race 2008 ,J-WC,1
12,World Championships WJ - Road Race 2008 ,-,1
13,World Championships U23 - ITT 2008 ,UCI.WO.u23.TT,1
14,World Championships WE - ITT 2008 ,F-WC.TT,1
15,World Championships - ITT 2008 ,-,1
16,World Championships U23 - Road Race 2008 ,Nationals.C1,1
17,World Championships - Road Race 2008 ,Worlds.RR,1
18,Tour of Egypt 2008 ,2.2/U23,7
19,Grand Prix of Sharm el-Sheikh 2008 ,1.2,1
20,National Championships Namibia - Road Race 2008 ,Nationals.C3,1
21,Tour of Libya 2008 ,2.2/U23,7
22,Tour du Cameroun 2008 ,2.2/U23,8
23,GP de la ville de Tunis 2008 ,1.2,1
24,GP de la Banque de l'Habitat 2008 ,1.2,1
25,National Championships South Africa - Road Race 2008 ,Nationals.C3,1
26,Boucle du Coton 2008 ,2.2/U23,7
27,National Championships Tunisia - ITT 2008 ,Nationals.C3.TT,1
28,Tour du Maroc 2008 ,2.2/U23,12
29,National Championships Algeria - ITT 2008 ,Nationals.C3.TT,1
30,National Championships Algeria - Road Race 2008 ,Nationals.C3,1
31,National Championships Tunisia - Road Race 2008 ,Nationals.C3,1
32,National Championships Zimbabwe - Road Race 2008 ,Nationals.C3,1
33,Tour of Thailand 2008 ,2.2/U23,6
34,Grand Prix Chantal Biya 2008 ,2.2/U23,4
35,Tour du Sénégal 2008 ,2.2/U23,9
36,Pick n Pay Amashovashova National Classic 2008 ,1.2,1
37,National Championships Namibia - ITT 2008 ,Nationals.C3.TT,1
38,African Continental Championships - ITT 2008 ,-,1
39,African Cycling Championships - Road Race 2008 ,-,1
40,Jelajah Malaysia 2008 ,2.2/U23,7
41,Mohammad Bin Rashid International Cycling Cup 2008 ,1.2,1
42,Umm Al Quwain International Race 2008 ,2.2/U23,4
43,Taftan Tour 2008 ,2.2/U23,7
44,Tour de Taiwan 2008 ,2.2/U23,8
45,Tour of East Java 2008 ,2.2/U23,5
46,Asian Cycling Championships - Road Race 2008 ,-,1
47,Presidential Tour of Iran 2008 ,2.2/U23,5
48,Tour de Kumano 2008 ,2.2/U23,3
