,Category,Date,Finish,Length,Number_stages,Race_ID,Race_Name,Stage#,Stage_Name,Stage_Type,Start,url
0,2.WT,,,,6.0,,Santos Tour Down Under 2013 ,,,,,
1,2.WT,,,,8.0,,Paris - Nice 2013 ,,,,,
2,2.WT,,,,7.0,,Tirreno-Adriatico 2013 ,,,,,
3,1.WT.A,,,,1.0,,Milano-Sanremo 2013 ,,,,,
4,2.WT,,,,7.0,,Volta Ciclista a Catalunya 2013 ,,,,,
5,1.WT.B,,,,1.0,,E3 Prijs Vlaanderen - Harelbeke 2013 ,,,,,
6,1.WT.B,,,,1.0,,Gent - Wevelgem 2013 ,,,,,
7,1.WT.A,,,,1.0,,Ronde van Vlaanderen / Tour des Flandres 2013 ,,,,,
8,2.WT,,,,6.0,,Vuelta Ciclista al Pais Vasco 2013 ,,,,,
9,1.WT.A,,,,1.0,,Paris - Roubaix 2013 ,,,,,
10,1.WT.B,,,,1.0,,Amstel Gold Race 2013 ,,,,,
11,1.WT.B,,,,1.0,,La Flèche Wallonne 2013 ,,,,,
12,1.WT.A,,,,1.0,,Liège - Bastogne - Liège 2013 ,,,,,
13,2.WT,,,,6.0,,Tour de Romandie 2013 ,,,,,
14,GT.B,,,,21.0,,Giro d'Italia 2013 ,,,,,
15,2.WT,,,,8.0,,Critérium du Dauphiné 2013 ,,,,,
16,2.WT,,,,9.0,,Tour de Suisse 2013 ,,,,,
17,GT.A,,,,21.0,,Tour de France 2013 ,,,,,
18,1.WT.B,,,,1.0,,Clasica Ciclista San Sebastian 2013 ,,,,,
19,1.WT.B,,,,7.0,,Tour de Pologne 2013 ,,,,,
20,2.WT,,,,7.0,,Eneco Tour 2013 ,,,,,
21,GT.B,,,,21.0,,Vuelta a España 2013 ,,,,,
22,1.WT.B,,,,1.0,,Vattenfall Cyclassics 2013 ,,,,,
23,1.WT.B,,,,1.0,,GP Ouest France - Plouay 2013 ,,,,,
24,1.WT.B,,,,1.0,,Grand Prix Cycliste de Québec 2013 ,,,,,
25,1.WT.B,,,,1.0,,Grand Prix Cycliste de Montréal 2013 ,,,,,
26,1.WT.A,,,,1.0,,Il Lombardia 2013 ,,,,,
27,2.WT,,,,5.0,,Tour of Beijing 2013 ,,,,,
28,Worlds.TTT,,,,1.0,, World Championships - TTT 2013 ,,,,,
29,-,,,,1.0,,World Championships - ITT 2013 ,,,,,
30,Nationals.C1,,,,1.0,,World Championships U23 - Road Race 2013 ,,,,,
31,Worlds.RR,,,,1.0,,World Championships - Road Race 2013 ,,,,,
32,2.1,,,,7.0,,La Tropicale Amissa Bongo 2013 ,,,,,
33,2.2/U23,,,,2.0,,Fenkel Northern Redsea 2013 ,,,,,
34,2.2/U23,,,,4.0,,Tour of Eritrea 2013 ,,,,,
