,Fullname,Teamname,Birthdate,Country,Height,Weight,pcs_url
0,Aaron Gate,Aqua Blue Sport,19901126,New Zealand,1.8,71.0,https://www.procyclingstats.com/rider/aaron-gate
1,Aaron Verwilst,Sport Vlaanderen - Baloise,19970502,Belgium,0.0,0.0,https://www.procyclingstats.com/rider/aaron-verwilst
2,Adam Blythe,Aqua Blue Sport,19891001,Great Britain,1.75,68.0,https://www.procyclingstats.com/rider/adam-blythe
3,Adam De Vos,Rally Cycling,19931021,Canada,0.0,0.0,https://www.procyclingstats.com/rider/adam-de-vos
4,Adam Hansen,Lotto Soudal,19810511,Australia,1.8599999999999999,75.0,https://www.procyclingstats.com/rider/adam-hansen
5,Adam Yates,Mitchelton-Scott,19920807,Great Britain,1.73,58.0,https://www.procyclingstats.com/rider/adam-yates
6,Adrián González,Burgos-BH ,19920913,Spain,1.71,63.0,https://www.procyclingstats.com/rider/adrian-gonzalez
7,Adrian Hegyvary,UnitedHealthcare Pro Cycling Team,19840105,United States,1.9100000000000001,78.0,https://www.procyclingstats.com/rider/adrian-hegyvary
8,Adrian Kurek,CCC Sprandi Polkowice ,19880329,Poland,1.94,80.0,https://www.procyclingstats.com/rider/adrian-kurek
9,Adrien Garel,Vital Concept Cycling Club,19960312,France,0.0,0.0,https://www.procyclingstats.com/rider/adrien-garel
10,Adrien Petit,Direct Energie,19900926,France,1.88,80.0,https://www.procyclingstats.com/rider/adrien-petit
11,Aidis Kruopis,Vérandas Willems-Crelan ,19861026,Lithuania,1.8399999999999999,80.0,https://www.procyclingstats.com/rider/aidis-kruopis
12,Aime De Gendt,Sport Vlaanderen - Baloise,19940617,Belgium,1.82,75.0,https://www.procyclingstats.com/rider/aime-de-gendt
13,Aitor Gonzalez,Euskadi - Murias ,19901105,Spain,0.0,0.0,https://www.procyclingstats.com/rider/aitor-gonzalez-prieto
14,Alan Banaszek,CCC Sprandi Polkowice ,19971030,Poland,1.77,69.0,https://www.procyclingstats.com/rider/alan-banaszek
15,Alan Marangoni,Nippo - Vini Fantini - Europa Ovini,19840716,Italy,1.85,74.0,https://www.procyclingstats.com/rider/alan-marangoni
16,Alberto Bettiol,BMC Racing Team,19931029,Italy,1.8,69.0,https://www.procyclingstats.com/rider/alberto-bettiol
17,Aldemar Reyes,Manzana Postobon,19950422,Colombia,1.7000000000000002,55.0,https://www.procyclingstats.com/rider/aldemar-reyes
18,Alejandro Valverde,Movistar Team,19800425,Spain,1.78,61.0,https://www.procyclingstats.com/rider/alejandro-valverde
19,Aleksandr Vlasov,Gazprom-RusVelo,19960423,Russia,0.0,0.0,https://www.procyclingstats.com/rider/aleksandr-vlasov
20,Aleksejs Saramotins,BORA - hansgrohe,19820408,Latvia,1.85,75.0,https://www.procyclingstats.com/rider/aleksejs-saramotins
21,Alexey Lutsenko,Astana Pro Team,19920907,Kazakhstan,1.75,70.0,https://www.procyclingstats.com/rider/aleksey-lutsenko
22,Aleksey Rybalkin,Gazprom-RusVelo,19931116,Russia,0.0,0.0,https://www.procyclingstats.com/rider/aleksey-rybalkin
23,Alessandro Bisolti,Androni Giocattoli - Sidermec,19850307,Italy,1.76,55.0,https://www.procyclingstats.com/rider/alessandro-bisolti
24,Alessandro De Marchi,BMC Racing Team,19860519,Italy,1.8,65.0,https://www.procyclingstats.com/rider/alessandro-de-marchi
25,Alessandro Tonelli,Bardiani - CSF,19920529,Italy,1.76,64.0,https://www.procyclingstats.com/rider/alessandro-tonelli
26,Alex Aranburu,Caja Rural - Seguros RGA,19950919,Spain,1.78,63.0,https://www.procyclingstats.com/rider/alex-aranburu
27,Alex Dowsett,Team Katusha - Alpecin,19881003,Great Britain,1.82,75.0,https://www.procyclingstats.com/rider/alex-dowsett
28,Alex Frame,Trek - Segafredo,19930618,New Zealand,0.0,0.0,https://www.procyclingstats.com/rider/alex-frame
29,Alex Howes,Team EF Education First-Drapac p/b Cannondale,19880101,United States,1.8,61.0,https://www.procyclingstats.com/rider/alex-howes
30,Alex Kirsch,WB Aqua Protect Veranclassic ,19920612,Luxembourg,1.94,75.0,https://www.procyclingstats.com/rider/alex-kirsch
31,Alex Turrin,Wilier Triestina - Selle Italia,19920603,Italy,0.0,0.0,https://www.procyclingstats.com/rider/alex-turrin
32,Alexander Cataford,UnitedHealthcare Pro Cycling Team,19930901,Canada,1.82,69.0,https://www.procyclingstats.com/rider/alexander-cataford
33,Alexander Edmondson,Mitchelton-Scott,19931222,Australia,0.0,0.0,https://www.procyclingstats.com/rider/alexander-edmondson
34,Alexander Foliforov,Gazprom-RusVelo,19920308,Russia,1.8,61.0,https://www.procyclingstats.com/rider/alexander-foliforov
35,Alexander Kristoff,UAE-Team Emirates,19870705,Norway,1.81,78.0,https://www.procyclingstats.com/rider/alexander-kristoff
36,Alexander Porsev,Gazprom-RusVelo,19860221,Russia,1.85,80.0,https://www.procyclingstats.com/rider/alexander-porsev
37,Alexandr Riabushenko,UAE-Team Emirates,19951012,Belarus,0.0,0.0,https://www.procyclingstats.com/rider/alexandr-riabushenko
38,Alexandre Geniez,AG2R La Mondiale,19880416,France,1.82,64.0,https://www.procyclingstats.com/rider/alexandre-geniez
39,Alexandre Pichot,Direct Energie,19830106,France,1.83,72.0,https://www.procyclingstats.com/rider/alexandre-pichot
40,Alexis Gougeard,AG2R La Mondiale,19930305,France,1.76,66.0,https://www.procyclingstats.com/rider/alexis-gougeard
41,Alexis Guerin,Delko Marseille Provence KTM,19920606,France,0.0,0.0,https://www.procyclingstats.com/rider/alexis-guerin
