,Race_Name,Category,Number_stages
0,Santos Tour Down Under 2012,WT,6
1,Paris - Nice 2012,2.UWT,8
2,Tirreno-Adriatico 2012,WT,7
3,Milano-Sanremo 2012,WT,1
4,Volta Ciclista a Catalunya 2012,WT,7
5,E3 Prijs Vlaanderen 2012,WT,1
6,Gent - Wevelgem 2012,WT,1
7,Ronde van Vlaanderen / Tour des Flandres 2012,WT,1
8,Vuelta Ciclista al Pais Vasco 2012,2.UWT,6
9,Paris - Roubaix 2012,WT,1
10,Amstel Gold Race 2012,WT,1
11,La Flèche Wallonne 2012,WT,1
12,Liège - Bastogne - Liège 2012,WT,1
13,Tour de Romandie 2012,WT,6
14,Giro d'Italia 2012,WT,21
15,Critérium du Dauphiné 2012,WT,8
16,Tour de Suisse 2012,WT,9
17,Tour de France 2012,WT,21
18,Tour de Pologne 2012,WT,7
19,Eneco Tour 2012,2.UWT,7
20,Clasica Ciclista San Sebastian 2012,WT,1
21,Vuelta a España 2012,WT,21
22,Vattenfall Cyclassics 2012,WT,1
23,GP Ouest France - Plouay 2012,WT,1
24,Grand Prix Cycliste de Quebec 2012,WT,1
25,Grand Prix Cycliste de Montréal 2012,WT,1
26,Il Lombardia 2012,WT,1
27,Tour of Beijing 2012,WT,5
28,UCI TTT World Championships Men 2012,WC,1
29,UCI TTT World Championships Women 2012,WC,1
30,World Championships MJ - ITT 2012,WC,1
31,World Championships U23 - ITT 2012,WC,1
32,World Championships WE - ITT 2012,WC,1
33,World Championships WJ - ITT 2012,WC,1
34,World Championships - ITT 2012,WC,1
35,World Championships WJ - Road Race 2012,WC,1
36,World Championships U23 - Road Race 2012,WC,1
37,World Championships - Road Race 2012,WC,1
38,World Championships MJ - Road Race 2012,WC,1
39,National Championships South Africa - ITT 2012,NC,1
40,National Championships South Africa - Road Race 2012,NC,1
41,Tour du Cameroun 2012,2.2,8
42,Tour d'Algérie 2012,2.2,5
43,Circuit d\'Alger 2012,1.2,1
44,Tour du Maroc 2012,2.2,10
45,National Championships Namibia - Road Race 2012,NC,1
46,National Championships Namibia - ITT 2012,NC,1
47,Les Challenges Phosphatiers-Challenge Khouribga 2012,1.2,1
48,Les Challenges Phosphatiers-Challenge Youssoufia 2012,1.2,1
49,Les Challenges Phosphatiers-Challenge Ben Guerir 2012,1.2,1
50,La Tropicale Amissa Bongo 2012,2.1,6
51,Challenge Du Prince - Trophée Princier 2012,1.2,1
52,Challenge du Prince - Trophée de l'Anniversaire 2012,1.2,1
53,Challenge Du Prince - Trophée de la Maison Royale 2012,1.2,1
54,Tour of Eritrea 2012,2.2,5
55,National Championships Tunisia - ITT 2012,NC,1
56,Kwita Izina Cycling Tour 2012,2.2,3
57,National Championships Burkina Faso - Road Race 2012,NC,1
58,National Championships Algeria - ITT 2012,NC,1
59,National Championships Algeria - Road Race 2012,NC,1
60,National Championships Eritrea - ITT 2012,NC,1
61,National Championships Morocco - ITT 2012,NC,1
62,National Championships Eritrea - Road Race 2012,NC,1
63,National Championships Morocco - Road Race 2012,NC,1
64,National Championships Tunisia - Road Race 2012,NC,1
65,National Championships Uganda - Road Race 2012,NC,1
66,Grand Prix Chantal Biya 2012,2.2,4
67,Tour du Faso 2012,2.2,10
68,National Championships Rwanda - Road Race 2012,NC,1
69,African Continental Championships TTT 2012,CC,1
70,African Continental Championships - ITT 2012,CC,1
71,African Continental Championships - Road Race 2012,CC,1
72,Tour of Rwanda 2012,2.2,9
73,Tour de Langkawi 2012,2.HC,10
74,Tour de Taiwan 2012,2.1,7
75,Princess Maha Chakri Sirindhorn's Cup Tour of Thailand 2012,2.2,6
76,Le Tour de Filipinas 2012,2.2,4
77,Tour de Korea 2012,2.2,8
78,Tour of Borneo 2012,2.2,5
79,National Championships Japan - Road Race 2012,NC,1
80,Jelajah Malaysia 2012,2.2,6
81,International Azerbaïjan Tour 2012,2.2,6
82,Tour of Japan 2012,2.2,6
83,Tour de Kumano 2012,2.2,4
84,Tour of Singkarak 2012,2.2,7
85,National Championships Japan - ITT 2012,NC,1
86,Polygon Tour de Jakarta 2012,1.2,1
87,National Championships Israel - ITT 2012,NC,1
88,National Championships Kazakhstan - ITT 2012,NC,1
89,National Championships Uzbekistan - ITT 2012,NC,1
90,National Championships Israel - Road Race 2012,NC,1
91,National Championships Kyrgyzstan - ITT 2012,NC,1
92,National Championships Malaysia - ITT 2012,NC,1
93,National Championships Singapore - ITT 2012,NC,1
94,National Championships Hong Kong - Road Race 2012,NC,1
95,National Championships Kazakhstan - Road Race 2012,NC,1
96,National Championships Kyrgyzstan - Road Race 2012,NC,1
97,National Championships Malaysia - Road Race 2012,NC,1
98,National Championships Singapore - Road Race 2012,NC,1
99,National Championships South Korea - Road Race 2012,NC,1
100,National Championships Uzbekistan - Road Race 2012,NC,1
101,Tour of Qinghai Lake 2012,2.HC,13
102,Tour of East Java 2012,2.2,4
103,Tour of China I 2012,2.1,6
104,Tour de Hokkaido 2012,2.2,3
105,Tour of China II 2012,2.1,6
106,Butra Heidelberg Cement Tour dé Brunei 2012,2.2,5
107,National Championships India - ITT 2012,NC,1
108,National Championships India - Road Race 2012,NC,1
109,Tour of Hainan 2012,2.HC,9
110,Japan Cup Cycle Road Race 2012,1.HC,1
111,Tour of Taihu Lake 2012,2.1,8
112,Tour of Fuzhou 2012,2.2,3
113,Tour de Okinawa 2012,1.2,1
114,Banyuwangi Tour de Ijen 2012,2.2,3
115,ADC Tour of Vietnam 2012,2.2,5
116,Grand Prix Cycliste La Marseillaise 2012,1.1,1
117,Etoile de Bessèges 2012,2.1,6
118,GP Costa Degli Etruschi 2012,1.1,1
119,Trofeo Palma de Mallorca 2012,1.1,1
120,Trofeo Migjorn 2012,1.1,1
121,Trofeo Deià 2012,1.1,1
122,Tour Méditerranéen Cycliste Professionnel 2012,2.1,4
123,Giro della Provincia di reggio Calabria 2012,2.1,2
124,Volta ao Algarve 2012,2.1,5
125,Tour Cycliste International du Haut Var 2012,2.1,2
126,Trofeo Laigueglia 2012,1.1,1
127,Omloop Het Nieuwsblad 2012,1.HC,1
128,Gp Citté di Lugano 2012,1.1,1
129,Beverbeek Classic 2012,1.2,1
130,Ster van Zwolle 2012,1.2,1
131,Kuurne-Bruxelles-Kuurne 2012,1.1,1
132,Les Boucles du Sud Ardèche - Souvenir F. Delpech 2012,1.1,1
133,Gp Samyn 2012,1.1,1
134,Driedaagse van West-Vlaanderen 2012,2.1,3
135,Vuelta ciclista a la region de Murcia 2012,2.1,2
136,Montepaschi Strade Bianche - Eroica Toscana 2012,1.1,1
