,fullname,team,birthdate,country,height,weight,rider_url
0,Romain Bardet,AG2R La Mondiale,1990-11-09,France,1.84,65.0,romain-bardet
1,Manuel Belletti,Androni Giocattoli - Sidermec,1985-10-14,Italy,1.75,72.0,manuel-belletti
2,Julien Bérard,noteam,1987-07-27,France,1.85,70.0,julien-berard
3,Guillaume Bonnafond,noteam,1987-06-23,France,1.84,68.0,guillaume-bonnafond
4,Maxime Bouet,Team Arkéa Samsic,1986-11-03,France,1.84,67.0,maxime-bouet
5,Jimmy Casper,noteam,1978-05-28,France,0.0,0.0,jimmy-casper
6,Gabriel Chavanne,noteam,1992-01-20,Switzerland,0.0,0.0,gabriel-chavanne
7,Mickaël Cherel,AG2R La Mondiale,1986-03-17,France,1.85,65.0,mikael-cherel
8,Hubert Dupont,AG2R La Mondiale,1980-11-13,France,1.74,57.0,hubert-dupont
9,Martin Elmiger,noteam,1978-09-23,Switzerland,1.82,73.0,martin-elmiger
10,John Gadret,noteam,1979-04-22,France,1.7,58.0,john-gadret
11,Ben Gastauer,AG2R La Mondiale,1987-11-14,Luxembourg,1.9,73.0,ben-gastauer
12,Gregor Gazvoda,noteam,1981-10-15,Slovenia,1.87,72.0,gregor-gazvoda
13,Sylvain Georges,noteam,1984-05-01,France,0.0,0.0,sylvain-georges
14,Kristof Goddaert,noteam,1986-11-21,Belgium,0.0,0.0,kristof-goddaert
15,Sébastien Hinault,noteam,1974-02-11,France,1.75,63.0,sebastien-hinault
16,Steve Houanard,noteam,1986-04-02,France,0.0,0.0,steve-houanard
17,Blel Kadri,noteam,1986-09-03,France,1.76,66.0,blel-kadri
18,Romain Lemarchand,noteam,1987-07-26,France,1.78,0.0,romain-lemarchand
19,Sébastien Minard,noteam,1982-06-12,France,1.77,65.0,sebastien-minard
20,Lloyd Mondory,noteam,1982-04-26,France,1.75,66.0,lloyd-mondory
21,Matteo Montaguti,Androni Giocattoli - Sidermec,1984-01-06,Italy,1.81,65.0,matteo-montaguti
22,Rinaldo Nocentini,Sporting Clube de Portugal/Tavira,1977-09-25,Italy,1.73,60.0,rinaldo-nocentini
23,Jean-Christophe Peraud,noteam,1977-05-22,France,1.72,62.0,jean-christophe-peraud
24,Mathieu Perget,noteam,1984-09-18,France,0.0,0.0,mathieu-perget
25,Jimmy Raibaud,noteam,1991-11-13,France,1.72,59.0,jimmy-raibaud
26,Anthony Ravard,noteam,1983-09-28,France,0.0,0.0,anthony-ravard
27,Christophe Riblon,noteam,1981-01-17,France,1.8,65.0,christophe-riblon
28,Nicolas Roche,Team Sunweb,1984-07-03,Ireland,1.78,70.0,nicolas-roche
29,Boris Shpilevsky,noteam,1982-08-20,Russia,0.0,0.0,boris-shpilevsky
30,Mathieu Teychenne,noteam,1989-03-18,France,0.0,0.0,mathieu-teychenne
31,Amir Zargari,noteam,1980-07-31,Iran,0.0,0.0,amir-zargari
32,Fabio Aru,UAE-Team Emirates,1990-07-03,Italy,1.83,66.0,fabio-aru
33,Assan Bazayev,noteam,1981-02-22,Kazakhstan,1.77,62.0,assan-bazayev
34,Borut Božič,noteam,1980-08-08,Slovenia,1.8,67.0,borut-bozic
35,Janez Brajkovič,Adria Mobil,1983-12-18,Slovenia,1.75,65.0,janez-brajkovic
