,rider_url
0,romain-bardet
1,manuel-belletti
2,julien-berard
3,guillaume-bonnafond
4,maxime-bouet
5,jimmy-casper
6,gabriel-chavanne
7,mikael-cherel
8,hubert-dupont
9,martin-elmiger
10,john-gadret
11,ben-gastauer
12,gregor-gazvoda
13,sylvain-georges
14,kristof-goddaert
15,sebastien-hinault
16,steve-houanard
17,blel-kadri
18,romain-lemarchand
19,sebastien-minard
20,lloyd-mondory
21,matteo-montaguti
22,rinaldo-nocentini
23,jean-christophe-peraud
24,mathieu-perget
25,jimmy-raibaud
26,anthony-ravard
27,christophe-riblon
28,nicolas-roche
29,boris-shpilevsky
30,mathieu-teychenne
31,amir-zargari
32,fabio-aru
33,assan-bazayev
34,borut-bozic
35,janez-brajkovic
36,alexandr-dyachenko
37,dmitriy-fofonov
38,enrico-gasparotto
39,francesco-gavazzi
40,andrei-grivko
41,dmitriy-gruzdev
42,jacopo-guarnieri
43,valentin-iglinskiy
44,maxim-iglinskiy
45,tanel-kangert
46,andrey-kashechkin
47,fredrik-kessiakoff
48,robert-kiserlovski
49,roman-kreuziger-1
50,francesco-masciarelli
51,dmitriy-muravyev
52,yevgeniy-nepomnyachshiy
53,evgeni-petrov
54,simone-ponzi
55,sergey-renev
56,kevin-seeldraeyers
57,egor-silin
58,paolo-tiralongo
59,alexandre-vinokourov
60,andrey-zeits
61,alessandro-ballan
62,adam-blythe
63,brent-bookwalter
64,marcus-burghardt
65,stephen-cummings
66,yannick-eijssen
67,cadel-evans
68,mathias-fluckiger
69,mathias-frank
70,philippe-gilbert
71,george-hincapie
72,thor-hushovd
73,martin-kohler
74,klaas-lodewyck
75,amael-moinard
76,steve-morabito
77,taylor-phinney
78,marco-pinotti
79,manuel-quinziato
80,timothy-roe
81,mauro-santambrogio
82,ivan-santaromita
83,michael-schar
84,johann-tschopp
85,greg-van-avermaet
86,tejay-van-garderen
87,lawrence-warbasse
88,danilo-wyss
89,igor-anton
90,mikel-astarloza
91,jorge-azanza
92,pello-bilbao
93,victor-cabedo
94,pierre-cazaux
95,ricardo-garcia-ambroa
96,ion-izagirre
97,gorka-izagirre
98,mikel-landa
99,egoi-martinez
100,miguel-minguez
101,mikel-nieve
102,juan-jose-oroz
103,alan-lezaun-perez
104,ruben-perez
105,adrian-saez-de-arregi
106,samuel-sanchez
107,romain-sicard
108,amets-txurruka
109,pablo-urtasun
110,ivan-velasco
111,gorka-verdugo
112,sebastien-bergeret
113,william-bonnet
114,david-boucher
115,nacer-bouhanni
116,sandy-casar
117,steve-chainel
118,arnaud-courteille
119,mickael-delage
120,arnaud-demare
121,kenny-elissonde
122,pierrick-fedrigo
123,arnaud-gerard
124,anthony-geslin
125,frederic-guesdon
126,yauheni-hutarovich
127,arnold-jeannesson
128,matthieu-ladagnous
129,francis-mourey
130,yoann-offredo
131,remi-pauriol
132,cedric-pineau
133,thibaut-pinot
134,gabriel-rasch
