,Date,Finish,Length,Length(km),Race_ID,Stage#,Stage_Name,Stage_Type,Start,url
0,2014-01-21,Angaston,135.0,,0,1,Tour Down Under 2014 | Stage 1,PRL,Nuriootpa,https://www.procyclingstats.com/race/tour-down-under/2014/stage-1
1,2014-01-22,Stirling,150.0,,0,2,Tour Down Under 2014 | Stage 2,PRL,Prospect,https://www.procyclingstats.com/race/tour-down-under/2014/stage-2
2,2014-01-23,Campbelltown,145.0,,0,3,Tour Down Under 2014 | Stage 3,PRL,Norwood,https://www.procyclingstats.com/race/tour-down-under/2014/stage-3
3,2014-01-24,Victor Harbor,148.5,,0,4,Tour Down Under 2014 | Stage 4,PRL,Unley,https://www.procyclingstats.com/race/tour-down-under/2014/stage-4
4,2014-01-25,Willunga,151.5,,0,5,Tour Down Under 2014 | Stage 5,PRL,McLaren Vale,https://www.procyclingstats.com/race/tour-down-under/2014/stage-5
5,2014-01-26,Adelaide,95.0,,0,6,Tour Down Under 2014 | Stage 6,PRL,Adelaide,https://www.procyclingstats.com/race/tour-down-under/2014/stage-6
6,2014-03-09,Mantes-La-Jolie,162.5,,1,1,Paris - Nice 2014 | Stage 1,PRL,Mantes-La-Jolie,https://www.procyclingstats.com/race/paris-nice/2014/stage-1
7,2014-03-10,Saint-Georges-sur-Baulche,205.0,,1,2,Paris - Nice 2014 | Stage 2,PRL,Rambouillet,https://www.procyclingstats.com/race/paris-nice/2014/stage-2
8,2014-03-11,Circuit de Nevers Magny-Cours,180.0,,1,3,Paris - Nice 2014 | Stage 3,PRL,Toucy,https://www.procyclingstats.com/race/paris-nice/2014/stage-3
9,2014-03-12,Belleville,201.5,,1,4,Paris - Nice 2014 | Stage 4,PRL,Nevers,https://www.procyclingstats.com/race/paris-nice/2014/stage-4
10,2014-03-13,Rive-de-Gier,152.5,,1,5,Paris - Nice 2014 | Stage 5,PRL,Crèche-sur-Saône,https://www.procyclingstats.com/race/paris-nice/2014/stage-5
11,2014-03-14,Fayence,221.5,,1,6,Paris - Nice 2014 | Stage 6,PRL,Saint-Saturnin Les-Avignon,https://www.procyclingstats.com/race/paris-nice/2014/stage-6
12,2014-03-15,Biot,195.5,,1,7,Paris - Nice 2014 | Stage 7,PRL,Mougins,https://www.procyclingstats.com/race/paris-nice/2014/stage-7
13,2014-03-16,Nice,128.0,,1,8,Paris - Nice 2014 | Stage 8,PRL,Nice,https://www.procyclingstats.com/race/paris-nice/2014/stage-8
14,2014-03-12,San Vincenzo,18.5,,2,1,Tirreno-Adriatico 2014 | Stage 1 (TTT),TTT,Donoratico,https://www.procyclingstats.com/race/tirreno-adriatico/2014/stage-1
15,2014-03-13,Cascina,166.0,,2,2,Tirreno-Adriatico 2014 | Stage 2,PRL,San Vincenzo,https://www.procyclingstats.com/race/tirreno-adriatico/2014/stage-2
16,2014-03-14,Arezzo,210.0,,2,3,Tirreno-Adriatico 2014 | Stage 3,PRL,Cascina,https://www.procyclingstats.com/race/tirreno-adriatico/2014/stage-3
17,2014-03-15,Cittareale (Selva Rotonda),244.0,,2,4,Tirreno-Adriatico 2014 | Stage 4,PRL,Indicatore (Arezzo),https://www.procyclingstats.com/race/tirreno-adriatico/2014/stage-4
18,2014-03-16,Guardiagrele,192.0,,2,5,Tirreno-Adriatico 2014 | Stage 5,PRL,Amatrice,https://www.procyclingstats.com/race/tirreno-adriatico/2014/stage-5
19,2014-03-17,Porto Sant'Elpidio,189.0,,2,6,Tirreno-Adriatico 2014 | Stage 6,PRL,Bucchianico,https://www.procyclingstats.com/race/tirreno-adriatico/2014/stage-6
20,2014-03-18,San Benedetto del Tronto,9.1,,2,7,Tirreno-Adriatico 2014 | Stage 7 (ITT),ITT,San Benedetto del Tronto,https://www.procyclingstats.com/race/tirreno-adriatico/2014/stage-7
21,2014-03-23,Sanremo,294.0,,3,0,Milano-Sanremo 2014,PRL,Milano,race/milano-sanremo/2014
22,2014-03-24,Calella,165.7,,4,1,Volta Ciclista a Catalunya 2014 | Stage 1,PRL,Calella,https://www.procyclingstats.com/race/volta-a-catalunya/2014/stage-1
